"","CREDDESC","EARN_MALE_WNE_MDN_1YR","EARN_NOMALE_WNE_MDN_1YR","EARN_MALE_WNE_MDN_4YR","EARN_NOMALE_WNE_MDN_4YR"
"2481","Bachelor's Degree",20403,21071,32064,30414
"2482","Bachelor's Degree",21444,17880,30283,35917
"2483","Bachelor's Degree",22710,25279,32690,37943
"2484","Bachelor's Degree",38604,32751,54651,43115
"2485","Master's Degree",64913,56968,76559,62841
"2486","Master's Degree",69670,66335,79426,71584
"2487","Master's Degree",73201,60101,76458,72229
"2488","Master's Degree",49024,44670,58625,47219
"2489","Master's Degree",58074,63627,83964,66960
"2490","Associate's Degree",25139,22611,45826,32114
"2491","Bachelor's Degree",28857,32922,43939,49925
"2492","Bachelor's Degree",27925,34031,44485,49142
"2493","Bachelor's Degree",36262,40107,58888,58200
"2494","Bachelor's Degree",24668,15486,36525,45116
"2495","Bachelor's Degree",62166,57165,78178,67483
"2496","Master's Degree",85761,91283,113657,105825
"2497","Bachelor's Degree",42497,37400,51261,48748
"2498","Master's Degree",56579,53532,63303,57692
"2499","First Professional Degree",61865,63280,84067,83330
"2500","Bachelor's Degree",26720,30995,44195,47402
"2501","Bachelor's Degree",87616,57848,84469,66786
"2502","Master's Degree",75615,77977,108286,114851
"2503","Bachelor's Degree",38648,31208,58186,45991
"2504","Master's Degree",82545,55558,75369,70551
"2505","Bachelor's Degree",28728,35354,52710,50704
"2506","Bachelor's Degree",20336,19597,31143,35024
"2507","Master's Degree",28935,22075,25546,24455
"2508","Master's Degree",20436,29141,28993,29633
"2509","Bachelor's Degree",31441,30906,56650,54544
"2510","Master's Degree",75296,69976,97050,79809
"2511","Bachelor's Degree",40526,43024,63044,61604
"2512","Master's Degree",103142,94663,132605,117201
"2513","Bachelor's Degree",64638,65012,82455,78505
"2514","Master's Degree",66500,66426,90299,88600
"2515","Bachelor's Degree",62022,59845,79835,76084
"2516","Bachelor's Degree",60432,66854,89928,75677
"2517","Bachelor's Degree",47125,49924,66667,61010
"2518","Bachelor's Degree",50626,49094,72504,62760
"2519","Associate's Degree",24103,27489,46594,43510
"2520","Bachelor's Degree",38224,31892,52376,47313
"2521","Bachelor's Degree",37722,35657,55845,39962
"2522","Bachelor's Degree",36884,31275,43002,36461
"2523","Master's Degree",41202,35052,45963,54736
"2524","Bachelor's Degree",34530,32283,47486,43715
"2525","Bachelor's Degree",36829,36095,50138,42720
"2526","Bachelor's Degree",42658,50718,72490,57672
"2527","Bachelor's Degree",46859,36552,57174,42438
"2528","Bachelor's Degree",44689,42724,68093,48785
"2529","Associate's Degree",28480,25631,45219,41934
"2530","Bachelor's Degree",52347,45705,65278,58941
"2531","Master's Degree",67565,65030,103496,91057
"2532","Bachelor's Degree",39292,43873,66266,69711
"2533","Bachelor's Degree",39338,32279,49948,51529
"2534","Associate's Degree",53348,40022,58846,39666
"2535","Bachelor's Degree",53399,32815,39966,37110
"2536","Bachelor's Degree",50885,41029,70649,44124
"2537","Bachelor's Degree",44578,42544,55515,51133
"2538","Bachelor's Degree",41635,40096,65098,52670
"2539","Master's Degree",117279,99687,122462,118409
"2540","Doctoral Degree",59629,61575,103234,95671
"2541","Doctoral Degree",102373,91295,133957,132309
"2542","Doctoral Degree",67674,62507,83068,76045
"2543","Master's Degree",53433,56930,66735,63159
"2544","Bachelor's Degree",27602,34905,51985,49056
"2545","Bachelor's Degree",54444,53023,75333,72074
"2546","Bachelor's Degree",43290,45022,58070,56158
"2547","Doctoral Degree",59852,54760,75177,76666
"2548","Master's Degree",95392,57235,107463,110926
"2549","Bachelor's Degree",22485,23388,52293,52072
"2550","Bachelor's Degree",32640,28206,53149,55543
"2551","Bachelor's Degree",30961,22495,55249,53530
"2552","Bachelor's Degree",33608,30925,51194,45271
"2553","Bachelor's Degree",35193,32743,51588,48477
"2554","Master's Degree",60580,57013,73589,58568
"2555","Master's Degree",49439,46949,55206,55355
"2556","Bachelor's Degree",42481,28335,64995,50603
"2557","Bachelor's Degree",27204,38324,48704,49798
"2558","Bachelor's Degree",30528,31485,42740,44108
"2559","Bachelor's Degree",34013,36314,43571,40178
"2560","Master's Degree",99387,84093,99686,110011
"2561","First Professional Degree",61205,61925,86140,98992
"2562","First Professional Degree",113494,79911,134494,129168
"2563","Master's Degree",67524,60849,88267,77520
"2564","Bachelor's Degree",69977,68585,82198,72966
"2565","Master's Degree",87202,75682,115980,92413
"2566","Bachelor's Degree",56262,61575,68764,65822
"2567","Master's Degree",69327,63948,87254,76619
"2568","Bachelor's Degree",51332,51452,65398,60578
"2569","Bachelor's Degree",42456,41906,62094,50097
"2570","Bachelor's Degree",35285,45128,63687,56390
"2571","Master's Degree",72194,72510,90675,79492
"2572","First Professional Degree",102148,91019,101179,104617
"2573","Bachelor's Degree",52192,49944,76206,70744
"2574","Doctoral Degree",92712,89860,113173,103140
"2575","Bachelor's Degree",38007,28010,47145,51587
"2576","Bachelor's Degree",38538,39173,60824,61555
"2577","Bachelor's Degree",27346,46016,40904,52576
"2578","Bachelor's Degree",40831,44397,66388,61868
"2579","Bachelor's Degree",42083,41830,47215,48103
"2580","Bachelor's Degree",61593,73231,77488,71426
"2581","Bachelor's Degree",76009,83178,89726,102281
"2582","Bachelor's Degree",67714,71509,78764,84515
"2583","Bachelor's Degree",72375,73477,88319,85704
"2584","Bachelor's Degree",34248,31895,51491,53334
"2585","Doctoral Degree",74819,76380,110801,106294
"2586","Bachelor's Degree",32036,34441,58425,50636
"2587","Master's Degree",50441,45421,60179,52539
"2588","Bachelor's Degree",29302,24396,60602,60282
"2589","Bachelor's Degree",26455,26808,47040,47699
"2590","Bachelor's Degree",34064,35344,56318,47325
"2591","Bachelor's Degree",31189,31288,53815,56482
"2592","Master's Degree",45345,40044,62978,49163
"2593","Bachelor's Degree",28237,28184,57115,65343
"2594","Bachelor's Degree",44785,42503,63414,57959
"2595","Bachelor's Degree",56614,57491,75915,74829
"2596","Bachelor's Degree",38481,33514,61662,66576
"2597","Bachelor's Degree",29707,28648,47738,47640
"2598","Bachelor's Degree",47618,35651,58553,54041
"2599","Bachelor's Degree",35993,37299,70476,59801
"2600","Bachelor's Degree",69870,65029,90105,77455
"2601","Master's Degree",109456,101761,128001,112323
"2602","Bachelor's Degree",67961,69693,80777,80421
"2603","Master's Degree",66095,68521,91919,90205
"2604","Bachelor's Degree",66966,73939,97157,102181
"2605","Master's Degree",85415,92489,96217,111553
"2606","Bachelor's Degree",62785,58378,82605,75525
"2607","Bachelor's Degree",45407,46606,71664,65429
"2608","Associate's Degree",22978,18065,40024,28854
"2609","Bachelor's Degree",46728,44949,61281,61214
"2610","First Professional Degree",62953,69444,93879,85990
"2611","Bachelor's Degree",50870,39908,60892,49445
"2612","Bachelor's Degree",36955,37291,46574,50758
"2613","Bachelor's Degree",45206,41113,53043,53195
"2614","Bachelor's Degree",41577,40581,45533,44020
"2615","Bachelor's Degree",41070,39156,47841,47971
"2616","Bachelor's Degree",38277,37223,43068,43638
"2617","Bachelor's Degree",34792,30670,46358,36724
"2618","Bachelor's Degree",34039,27926,52817,47068
"2619","Bachelor's Degree",59249,49834,68151,52648
"2620","Bachelor's Degree",37630,34453,43010,38301
"2621","Bachelor's Degree",37893,34108,51797,63318
"2622","Bachelor's Degree",26793,31931,52093,49106
"2623","Bachelor's Degree",41485,32858,59637,42177
"2624","Bachelor's Degree",28424,35593,50856,54411
"2625","Bachelor's Degree",37549,33127,48722,47288
"2626","Bachelor's Degree",31722,33541,44560,37536
"2627","Bachelor's Degree",47089,40635,67179,58230
"2628","Bachelor's Degree",56434,58546,74782,68871
"2629","Bachelor's Degree",55080,53995,74269,70559
"2630","Bachelor's Degree",45379,47443,63768,62333
"2631","Bachelor's Degree",48317,48690,64923,59590
"2632","Bachelor's Degree",36776,42202,46499,43540
"2633","Associate's Degree",26628,22862,36846,28604
"2634","Associate's Degree",29582,25307,43722,38188
"2635","Associate's Degree",16227,31000,41357,37748
"2636","Associate's Degree",30072,30183,42826,38882
"2637","Master's Degree",124807,112293,155270,123292
"2638","Associate's Degree",26733,23195,36617,27558
"2639","Bachelor's Degree",61097,64027,85786,64884
"2640","Associate's Degree",24363,24271,42562,31459
"2641","Bachelor's Degree",36420,37195,50337,43528
"2642","Bachelor's Degree",46707,47089,63620,57510
"2643","Master's Degree",73009,63293,84246,72774
"2644","Associate's Degree",34949,32670,41801,46321
"2645","Undergraduate Certificate or Diploma",32704,27762,38966,30264
"2646","Undergraduate Certificate or Diploma",29781,29046,35474,30772
"2647","First Professional Degree",76921,78864,110508,103169
"2648","Bachelor's Degree",30949,26365,51331,54463
"2649","Bachelor's Degree",39074,36314,67798,54835
"2650","Master's Degree",43335,46844,55830,56195
"2651","First Professional Degree",61835,61535,82663,94758
"2652","Master's Degree",91089,81410,132739,111581
"2653","Bachelor's Degree",63976,66521,86604,74293
"2654","Bachelor's Degree",48071,48416,67276,75644
"2655","Bachelor's Degree",49610,37934,57974,55004
"2656","Master's Degree",66323,60393,82276,60224
"2657","Bachelor's Degree",63421,60898,70682,63038
"2658","Bachelor's Degree",48007,48145,66392,40040
"2659","Bachelor's Degree",43393,41746,55807,52420
"2660","Associate's Degree",25697,21416,43708,33483
"2661","Associate's Degree",26813,21263,45737,39988
"2662","Associate's Degree",32193,24661,41979,30858
"2663","Associate's Degree",24957,28943,36023,33157
"2664","Master's Degree",61642,57032,64941,57720
"2665","Master's Degree",69852,64052,66754,65100
"2666","Master's Degree",54574,55139,62036,60108
"2667","Master's Degree",54474,49913,62574,56720
"2668","Bachelor's Degree",39442,37941,60181,42010
"2669","Master's Degree",46523,46273,53038,55543
"2670","Bachelor's Degree",59905,54305,92156,57335
"2671","Doctoral Degree",49870,44643,68544,51138
"2672","Bachelor's Degree",31894,24488,55218,37784
"2673","Bachelor's Degree",42822,43054,59558,50585
"2674","Master's Degree",73060,56368,86403,81648
"2675","Bachelor's Degree",44113,42973,49800,50039
"2676","Bachelor's Degree",46056,44025,64596,54885
"2677","Master's Degree",65729,64719,80915,65540
"2678","Bachelor's Degree",35728,28264,41533,43316
"2679","Bachelor's Degree",35580,38382,51844,47965
"2680","Master's Degree",74935,56786,61876,47815
"2681","Bachelor's Degree",39576,40454,43991,43058
"2682","Bachelor's Degree",42770,43063,51889,42743
"2683","Master's Degree",46980,56168,59816,59787
"2684","Bachelor's Degree",28970,33106,35786,42688
"2685","Bachelor's Degree",29009,32837,52449,44346
"2686","Bachelor's Degree",37154,33329,49674,49167
"2687","Bachelor's Degree",33940,26060,48584,37502
"2688","Bachelor's Degree",29782,27859,44735,39226
"2689","Bachelor's Degree",32653,34608,50082,39044
"2690","Bachelor's Degree",25314,28021,40113,35977
"2691","Bachelor's Degree",27596,29681,50714,46743
"2692","Doctoral Degree",75031,67896,79083,75634
"2693","Bachelor's Degree",49578,47225,67419,56412
"2694","Master's Degree",96596,78683,109003,110324
"2695","Bachelor's Degree",59095,54121,74014,72674
"2696","Master's Degree",65571,65470,81676,80712
"2697","Bachelor's Degree",48015,49048,61650,58505
"2698","Bachelor's Degree",46279,49134,59892,58450
"2699","Bachelor's Degree",48056,51411,79872,76901
"2700","Bachelor's Degree",46469,45538,62205,66790
"2701","Master's Degree",43886,46145,58568,61523
"2702","Bachelor's Degree",26687,23033,47937,44787
"2703","Master's Degree",93469,82741,113639,102759
"2704","Bachelor's Degree",88716,73739,119382,96553
"2705","First Professional Degree",196449,196816,231963,213279
"2706","Bachelor's Degree",40943,40534,69592,56531
"2707","Master's Degree",71845,69593,100041,86171
"2708","Bachelor's Degree",78240,82483,110655,94278
"2709","Bachelor's Degree",45954,49347,74599,71376
"2710","Bachelor's Degree",21868,31086,36393,41166
"2711","Bachelor's Degree",33332,31854,44023,34431
"2712","Master's Degree",19275,17341,35263,26273
"2713","First Professional Degree",65530,64667,78835,105034
"2714","Doctoral Degree",67314,71053,84202,79442
"2715","Master's Degree",178208,164901,211519,188506
"2716","Master's Degree",196964,184131,238808,159496
"2717","Master's Degree",130094,119820,144844,121754
"2718","Bachelor's Degree",28048,30196,50109,41185
"2719","Bachelor's Degree",38961,37872,43079,40811
"2720","Bachelor's Degree",43086,29174,58798,44274
"2721","Bachelor's Degree",38186,32410,51021,40312
"2722","Bachelor's Degree",34510,34959,52007,50507
"2723","Bachelor's Degree",46941,43235,56574,51384
"2724","Bachelor's Degree",43254,46199,57511,49316
"2725","Bachelor's Degree",51499,44150,65819,57799
"2726","Associate's Degree",23619,20507,44289,41904
"2727","Bachelor's Degree",48020,33335,55170,49001
"2728","Master's Degree",61376,50830,85291,51948
"2729","Associate's Degree",30668,17386,39034,28826
"2730","Bachelor's Degree",44261,39832,51977,49552
"2731","Associate's Degree",29619,24249,39032,35066
"2732","Bachelor's Degree",28378,31433,31244,39042
"2733","Bachelor's Degree",39751,29230,39650,41781
"2734","Bachelor's Degree",20433,21849,29063,23342
"2735","Bachelor's Degree",38496,40511,47595,48298
"2736","Master's Degree",59491,56049,76352,77938
"2737","Bachelor's Degree",49070,45961,61617,65844
"2738","Bachelor's Degree",48884,36971,50429,48006
"2739","Bachelor's Degree",49907,36217,67543,55592
"2740","Bachelor's Degree",47228,43094,55945,61851
"2741","Master's Degree",67447,61555,95560,67271
"2742","Master's Degree",78680,79534,121802,103221
"2743","Master's Degree",133390,119484,134159,117408
"2744","First Professional Degree",61671,62906,82158,85089
"2745","Master's Degree",77210,74273,91661,81156
"2746","Bachelor's Degree",34111,34228,67078,50557
"2747","Bachelor's Degree",73278,68932,79821,74344
"2748","Bachelor's Degree",40059,44568,59474,48109
"2749","Master's Degree",89418,60263,100815,71092
"2750","Bachelor's Degree",27033,30895,49268,38855
"2751","Master's Degree",57049,50158,68200,57130
"2752","Bachelor's Degree",43483,41561,58833,55814
"2753","Bachelor's Degree",47375,40578,57167,65323
"2754","Bachelor's Degree",62461,66926,77630,66132
"2755","Bachelor's Degree",47465,46932,53563,51179
"2756","Bachelor's Degree",34243,23120,43956,41732
"2757","Bachelor's Degree",24358,22121,34659,39366
"2758","Bachelor's Degree",58498,46069,57961,60423
"2759","First Professional Degree",47961,50399,68527,58212
"2760","Bachelor's Degree",32686,29188,39661,36693
"2761","Bachelor's Degree",22520,20388,39317,32896
"2762","Bachelor's Degree",35591,28885,37782,40120
"2763","Bachelor's Degree",38451,30817,56382,45111
"2764","Bachelor's Degree",19493,19929,32358,34973
"2765","Bachelor's Degree",27127,29224,41409,29733
"2766","First Professional Degree",58302,60513,103050,133050
"2767","Master's Degree",73177,62073,93312,56888
"2768","Bachelor's Degree",48655,49584,62075,54660
"2769","Bachelor's Degree",39601,35501,60376,43465
"2770","Bachelor's Degree",40886,31820,58539,48929
"2771","Bachelor's Degree",36262,37269,43702,39955
"2772","Bachelor's Degree",38812,36198,51460,47863
"2773","Bachelor's Degree",24251,23098,50978,49297
"2774","Master's Degree",38528,40252,45727,52257
"2775","Bachelor's Degree",29284,29940,36381,43180
"2776","Bachelor's Degree",42283,35727,60700,49013
"2777","First Professional Degree",135406,141275,175203,144856
"2778","First Professional Degree",124209,110340,135888,127631
"2779","Bachelor's Degree",66169,63781,71028,66824
"2780","Bachelor's Degree",41696,41813,56568,48746
"2781","Master's Degree",94375,65391,106120,61026
"2782","Bachelor's Degree",48790,46598,65931,65767
"2783","First Professional Degree",47119,47449,95032,66892
"2784","Associate's Degree",23193,23701,42128,35705
"2785","Associate's Degree",34900,29453,47951,39875
"2786","Associate's Degree",24870,23454,37526,32466
"2787","Associate's Degree",28451,24988,51041,42845
"2788","Bachelor's Degree",69760,68638,83843,76020
"2789","Bachelor's Degree",47440,38659,50396,46632
"2790","Bachelor's Degree",40305,33791,50168,43678
"2791","Bachelor's Degree",22699,27494,43204,30959
"2792","Master's Degree",39604,40013,46735,47658
"2793","Bachelor's Degree",47266,34395,51586,37555
"2794","Bachelor's Degree",31980,27275,46767,38897
"2795","Bachelor's Degree",32867,28124,39412,35383
"2796","Bachelor's Degree",29150,32575,53774,34674
"2797","Master's Degree",37908,38772,48816,40869
"2798","Bachelor's Degree",27254,29501,40141,39161
"2799","Bachelor's Degree",40892,35963,62168,50392
"2800","Bachelor's Degree",51910,37382,56303,43512
"2801","Bachelor's Degree",43071,39473,65125,55885
"2802","Bachelor's Degree",49793,48108,71977,66043
"2803","Associate's Degree",24556,26978,42553,36757
"2804","Associate's Degree",40066,29776,46544,35657
"2805","Bachelor's Degree",40556,30493,55680,40083
"2806","Master's Degree",71600,72231,86105,72892
"2807","Bachelor's Degree",31557,35432,42002,41065
"2808","Bachelor's Degree",26242,32152,48508,46393
"2809","Bachelor's Degree",29317,27481,38395,40697
"2810","Master's Degree",67106,55749,72692,60316
"2811","Master's Degree",59391,54662,70763,61165
"2812","Bachelor's Degree",41854,41060,45917,45609
"2813","Master's Degree",49982,49284,54520,52495
"2814","Bachelor's Degree",35106,31362,45213,39166
"2815","Bachelor's Degree",32489,30747,47636,47752
"2816","Bachelor's Degree",31460,31415,41756,40075
"2817","Bachelor's Degree",40223,34227,54796,43471
"2818","Bachelor's Degree",24487,21384,26748,28770
"2819","Bachelor's Degree",27178,25276,46611,34079
"2820","Bachelor's Degree",45855,40907,56642,52588
"2821","Master's Degree",91090,63875,100569,100145
"2822","Bachelor's Degree",50669,52110,67217,60729
"2823","Bachelor's Degree",47553,40576,62766,55250
"2824","Bachelor's Degree",40136,38883,55000,54820
"2825","Bachelor's Degree",30065,37926,43152,33012
"2826","Bachelor's Degree",44016,40645,49053,58539
"2827","Associate's Degree",33788,34312,44527,31898
"2828","Associate's Degree",38528,31182,43913,37834
"2829","Undergraduate Certificate or Diploma",28799,21334,37013,32103
"2830","Associate's Degree",27209,24083,35327,30090
"2831","Associate's Degree",36084,27666,43777,32226
"2832","Associate's Degree",23471,21668,26655,27549
"2833","Associate's Degree",40128,31410,46423,31164
"2834","Associate's Degree",56007,46815,58195,50780
"2835","Associate's Degree",59935,58391,67739,59699
"2836","Undergraduate Certificate or Diploma",49071,43508,52160,50558
"2837","Associate's Degree",40539,35267,45698,35371
"2838","Associate's Degree",34521,34638,38536,34290
"2839","Associate's Degree",32298,24502,31697,26388
"2840","Bachelor's Degree",38515,31003,45296,37581
"2841","Bachelor's Degree",42685,31260,48558,43564
"2842","Bachelor's Degree",46733,46455,55857,54046
"2843","Bachelor's Degree",47590,40515,52185,42293
"2844","Bachelor's Degree",37268,36104,52283,42399
"2845","Bachelor's Degree",36692,36295,42121,40258
"2846","Bachelor's Degree",32322,31980,45242,46391
"2847","Bachelor's Degree",43293,42519,47077,42807
"2848","Bachelor's Degree",43407,42043,48768,44548
"2849","First Professional Degree",68357,63673,82011,79353
"2850","Bachelor's Degree",43868,37822,53020,42353
"2851","Bachelor's Degree",35142,33812,51928,45382
"2852","Undergraduate Certificate or Diploma",31448,28068,54331,44733
"2853","Bachelor's Degree",32249,28965,52542,45524
"2854","Bachelor's Degree",35594,32182,42355,39933
"2855","Bachelor's Degree",42243,38476,50784,43782
"2856","Bachelor's Degree",38024,38239,55708,49496
"2857","Master's Degree",76375,57863,79532,61409
"2858","Master's Degree",45156,46556,58704,53315
"2859","Bachelor's Degree",36276,24542,36243,35621
"2860","First Professional Degree",123771,125060,167457,144169
"2861","Bachelor's Degree",37843,35696,55087,46999
"2862","First Professional Degree",59884,59946,83197,118919
"2863","Bachelor's Degree",46040,39553,51075,48742
"2864","Master's Degree",63791,58874,90192,67123
"2865","First Professional Degree",70228,71900,79974,77531
"2866","Bachelor's Degree",64201,60496,72089,62963
"2867","Undergraduate Certificate or Diploma",33785,34340,51866,43508
"2868","Bachelor's Degree",51317,45646,64841,52601
"2869","Master's Degree",111473,132070,122719,105242
"2870","Bachelor's Degree",55471,44305,70316,56846
"2871","Master's Degree",59682,57291,83098,66093
"2872","Bachelor's Degree",35803,33902,47503,45385
"2873","Bachelor's Degree",33434,33487,49720,51977
"2874","First Professional Degree",76036,68297,82818,77320
"2875","Bachelor's Degree",43709,40141,54984,49658
"2876","Master's Degree",67470,64147,88579,76550
"2877","Master's Degree",64187,58129,76236,65124
"2878","Bachelor's Degree",51011,50626,59351,47238
"2879","Bachelor's Degree",36428,27848,45875,46761
"2880","Bachelor's Degree",35192,31992,46366,46309
"2881","Bachelor's Degree",37960,36240,51138,44116
"2882","Bachelor's Degree",29234,24821,38405,34664
"2883","Bachelor's Degree",41675,36550,59181,35787
"2884","Bachelor's Degree",34076,36792,50855,58902
"2885","Bachelor's Degree",32110,36103,33639,40942
"2886","Bachelor's Degree",41022,38903,42100,43129
"2887","Bachelor's Degree",33064,33015,43306,40104
"2888","Bachelor's Degree",28558,25999,33543,41792
"2889","Bachelor's Degree",38470,35865,51911,41004
"2890","Bachelor's Degree",65919,63050,60539,64889
"2891","Bachelor's Degree",42423,34106,53307,46877
"2892","Bachelor's Degree",37091,31487,47227,31541
"2893","Bachelor's Degree",40466,39262,55448,44148
"2894","Bachelor's Degree",32009,31487,40041,38420
"2895","Bachelor's Degree",39000,29974,44653,36165
"2896","Bachelor's Degree",47356,41390,58209,47967
"2897","Master's Degree",52171,52135,69970,62860
"2898","Bachelor's Degree",32414,36969,55595,54257
"2899","Bachelor's Degree",33530,37008,48071,55993
"2900","Bachelor's Degree",62826,68459,79558,77205
"2901","Bachelor's Degree",43923,42180,45073,44836
"2902","Bachelor's Degree",41180,33362,48219,44863
"2903","Bachelor's Degree",32205,28185,46378,48468
"2904","First Professional Degree",72977,74579,86734,88665
"2905","Bachelor's Degree",25957,26583,37444,42100
"2906","Undergraduate Certificate or Diploma",48978,31704,43531,55286
"2907","Bachelor's Degree",34521,30717,42300,45010
"2908","Master's Degree",39209,42684,55667,49112
"2909","Bachelor's Degree",32343,28222,57565,56570
"2910","Bachelor's Degree",41988,32091,50404,40986
"2911","Bachelor's Degree",36629,33796,51079,55720
"2912","Bachelor's Degree",33100,31979,41374,48026
"2913","Bachelor's Degree",42084,34390,57088,44767
"2914","Bachelor's Degree",49155,42749,62362,63191
"2915","Master's Degree",53248,54371,77111,73915
"2916","Undergraduate Certificate or Diploma",66685,71092,75367,88698
"2917","Bachelor's Degree",27741,31433,55706,56999
"2918","Bachelor's Degree",18945,21069,26603,25996
"2919","Master's Degree",22781,23546,34244,35591
"2920","First Professional Degree",112427,104709,123635,115933
"2921","Bachelor's Degree",45188,40145,62761,60619
"2922","Undergraduate Certificate or Diploma",65847,69532,88132,87290
"2923","Bachelor's Degree",66248,67048,91583,84926
"2924","Master's Degree",116437,112076,143170,136432
"2925","Master's Degree",73894,66426,90768,93208
"2926","Bachelor's Degree",31361,24386,53813,47072
"2927","Bachelor's Degree",44176,38540,49744,39985
"2928","Bachelor's Degree",38766,33604,55412,43241
"2929","Bachelor's Degree",37422,32093,52521,39255
"2930","Bachelor's Degree",43533,39441,48076,39235
"2931","Bachelor's Degree",45050,42797,58046,47136
"2932","Bachelor's Degree",45047,31213,54287,39308
"2933","Bachelor's Degree",50495,44884,67607,51168
"2934","Undergraduate Certificate or Diploma",16141,16017,17259,18887
"2935","Undergraduate Certificate or Diploma",33859,24533,42396,30428
"2936","Associate's Degree",41178,37510,47679,28037
"2937","Undergraduate Certificate or Diploma",36182,32712,42447,40609
"2938","First Professional Degree",106665,102677,137658,132058
"2939","Master's Degree",52394,48726,57382,53293
"2940","Bachelor's Degree",67138,60481,84740,62838
"2941","Bachelor's Degree",45530,46207,52546,65064
"2942","Bachelor's Degree",36713,37090,56033,34740
"2943","Bachelor's Degree",51190,37857,49291,41753
"2944","Master's Degree",79974,69599,105993,83262
"2945","Bachelor's Degree",67531,63994,75590,72608
"2946","Master's Degree",101260,98689,124808,109584
"2947","Associate's Degree",58213,44610,62729,48961
"2948","Bachelor's Degree",66428,50224,73592,57026
"2949","Master's Degree",87290,67374,93132,70020
"2950","Bachelor's Degree",57317,52829,60128,60067
"2951","Master's Degree",64181,53130,71382,68363
"2952","Bachelor's Degree",44955,39563,57624,46352
"2953","First Professional Degree",46296,47538,63251,53645
"2954","Bachelor's Degree",78639,76076,102548,93548
"2955","Bachelor's Degree",76686,80817,88243,90241
"2956","First Professional Degree",88500,76127,130832,122476
"2957","Bachelor's Degree",76651,76559,98511,98285
"2958","Bachelor's Degree",62053,59387,70827,67056
"2959","Bachelor's Degree",30701,44401,47195,56772
"2960","First Professional Degree",66831,59585,91505,80184
"2961","First Professional Degree",131440,123339,168615,125913
"2962","Bachelor's Degree",67384,70667,86202,90017
"2963","First Professional Degree",67226,64630,97153,84830
"2964","Bachelor's Degree",86818,89663,111475,112178
"2965","Bachelor's Degree",77890,79213,112918,97011
"2966","Undergraduate Certificate or Diploma",12475,13626,16498,20836
"2967","Bachelor's Degree",65067,68741,87051,76482
"2968","Bachelor's Degree",74284,82027,87783,90604
"2969","Bachelor's Degree",75644,73895,86128,88981
"2970","Master's Degree",71170,60996,85249,67096
"2971","Bachelor's Degree",38011,31292,50315,38570
"2972","Bachelor's Degree",42563,34925,67942,55208
"2973","Master's Degree",66056,51312,69236,63687
"2974","First Professional Degree",48965,46591,66449,67096
"2975","Bachelor's Degree",69444,63980,80277,67492
"2976","Undergraduate Certificate or Diploma",35192,29669,49679,36587
"2977","Associate's Degree",41099,35698,49187,40081
"2978","Bachelor's Degree",53099,39889,46848,48342
"2979","Doctoral Degree",75199,66963,78122,66910
"2980","Bachelor's Degree",45885,42656,68562,55950
"2981","Associate's Degree",32079,28037,42680,38727
"2982","Associate's Degree",43357,27871,49608,31683
"2983","First Professional Degree",66299,63927,71513,71735
"2984","Master's Degree",64426,62612,84992,60327
"2985","Bachelor's Degree",47942,45011,74112,63836
"2986","Bachelor's Degree",46425,43814,56133,55152
"2987","Master's Degree",63135,63399,92631,65284
"2988","Associate's Degree",15972,19520,39833,35213
"2989","Associate's Degree",31008,26552,46064,36070
"2990","Master's Degree",112362,98091,136230,109271
"2991","Bachelor's Degree",32561,35281,52443,42561
"2992","Bachelor's Degree",46199,45285,52172,47656
"2993","Associate's Degree",33416,27385,43439,36850
"2994","Associate's Degree",26859,27759,41419,33935
"2995","Associate's Degree",23828,23689,42142,34964
"2996","Associate's Degree",20262,32194,44377,35306
"2997","Bachelor's Degree",52324,46034,61270,57104
"2998","Bachelor's Degree",46156,35791,58434,45281
"2999","Bachelor's Degree",47129,43555,50541,49837
"3000","First Professional Degree",81751,81938,107252,93149
"3001","Bachelor's Degree",35002,24846,55344,51377
"3002","Bachelor's Degree",51777,52657,61732,55941
"3003","Bachelor's Degree",39082,38520,45380,46063
"3004","Bachelor's Degree",31098,37604,43499,50376
"3005","Bachelor's Degree",41521,41486,62552,49214
"3006","Master's Degree",43831,46532,55152,52999
"3007","Bachelor's Degree",44785,41320,49051,43862
"3008","Bachelor's Degree",69721,74888,86815,88622
"3009","Bachelor's Degree",67829,67156,79608,72849
"3010","Bachelor's Degree",68103,69762,82020,69199
"3011","Bachelor's Degree",67960,75085,74557,84287
"3012","Bachelor's Degree",34476,35931,33800,42380
"3013","Bachelor's Degree",38234,34866,37318,36604
"3014","Bachelor's Degree",28967,29606,48937,51881
"3015","Bachelor's Degree",29600,25048,46454,34167
"3016","Bachelor's Degree",42755,34726,52724,51002
"3017","Bachelor's Degree",33016,32325,55047,53518
"3018","Bachelor's Degree",36333,33460,47916,41521
"3019","Bachelor's Degree",34350,37639,53720,46045
"3020","Bachelor's Degree",39969,37204,53687,50104
"3021","Bachelor's Degree",37081,36318,46180,51311
"3022","Bachelor's Degree",54895,53203,68306,68413
"3023","Bachelor's Degree",51975,53839,66469,65882
"3024","Bachelor's Degree",52953,56347,65515,58030
"3025","Bachelor's Degree",32927,36172,50616,47269
"3026","Bachelor's Degree",43891,45088,63056,54400
"3027","Bachelor's Degree",37886,27779,40022,41341
"3028","Associate's Degree",29479,29492,39904,35122
"3029","Bachelor's Degree",35118,31382,47797,48877
