"","CREDDESC","EARN_MALE_WNE_MDN_1YR","EARN_NOMALE_WNE_MDN_1YR","EARN_MALE_WNE_MDN_4YR","EARN_NOMALE_WNE_MDN_4YR"
"8311","Bachelor's Degree",28857,28899,48207,44174
"8312","First Professional Degree",94682,95054,113550,95892
"8313","First Professional Degree",101732,98744,129556,125179
"8314","Bachelor's Degree",51853,50580,66049,58521
"8315","Master's Degree",111838,73769,119620,110527
"8316","Bachelor's Degree",49965,44879,65763,61259
"8317","Master's Degree",63863,64481,85537,80214
"8318","Bachelor's Degree",48634,50180,73849,59976
"8319","Bachelor's Degree",36064,33541,53015,44811
"8320","Bachelor's Degree",63656,60758,74134,75284
"8321","Bachelor's Degree",49044,45263,53935,53535
"8322","Bachelor's Degree",51693,49001,70154,58262
"8323","Bachelor's Degree",34023,34327,52235,44340
"8324","Associate's Degree",37496,33434,40489,35273
"8325","Bachelor's Degree",26227,14845,31152,37230
"8326","Bachelor's Degree",29455,24793,44709,42517
"8327","Bachelor's Degree",30680,33048,57337,39666
"8328","First Professional Degree",106150,94354,115045,114031
"8329","First Professional Degree",130385,120949,149207,131940
"8330","First Professional Degree",70626,72373,88789,77516
"8331","Bachelor's Degree",48507,41748,63061,58119
"8332","Master's Degree",64119,56514,77597,72557
"8333","Associate's Degree",21606,18130,22608,16502
"8334","Associate's Degree",18706,21466,43551,27977
"8335","Bachelor's Degree",24931,31057,38089,32129
"8336","Master's Degree",64267,57813,67136,61451
"8337","Doctoral Degree",90485,80294,97135,80141
"8338","Master's Degree",61888,57328,64320,57395
"8339","Bachelor's Degree",47443,34115,48268,42728
"8340","Bachelor's Degree",54647,38197,57903,43980
"8341","Bachelor's Degree",35019,35064,48645,39511
"8342","Master's Degree",60433,56720,62486,58144
"8343","Bachelor's Degree",47131,30966,64295,42815
"8344","Master's Degree",64076,50652,88548,48289
"8345","Bachelor's Degree",79446,69478,96105,79103
"8346","Bachelor's Degree",50924,34144,63433,42992
"8347","Associate's Degree",28790,25952,48868,23958
"8348","Bachelor's Degree",23491,21457,47271,38812
"8349","Bachelor's Degree",26768,22309,45741,25591
"8350","Bachelor's Degree",21782,21364,37279,37499
"8351","Bachelor's Degree",32488,26680,47370,36004
"8352","Bachelor's Degree",30091,25461,42767,36892
"8353","Master's Degree",46085,40248,65467,57929
"8354","Bachelor's Degree",30741,30907,38699,44263
"8355","Bachelor's Degree",72799,48032,80515,60379
"8356","Undergraduate Certificate or Diploma",33859,24533,42396,30428
"8357","Associate's Degree",41178,37510,47679,28037
"8358","Undergraduate Certificate or Diploma",36182,32712,42447,40609
"8359","Associate's Degree",73588,37540,130084,32666
"8360","Associate's Degree",29175,30143,39467,37647
"8361","Bachelor's Degree",44064,35695,46633,43869
"8362","Bachelor's Degree",42049,37684,46526,37069
"8363","Bachelor's Degree",73429,59827,63682,62886
"8364","Bachelor's Degree",73264,67746,81543,76753
"8365","Undergraduate Certificate or Diploma",21964,21595,24779,23651
"8366","Undergraduate Certificate or Diploma",21882,19737,25180,22594
"8367","Undergraduate Certificate or Diploma",20870,20488,26970,23819
"8368","Associate's Degree",30686,21604,38052,31021
"8369","Associate's Degree",29766,23962,43446,37783
"8370","Associate's Degree",37536,32062,44170,33920
"8371","Associate's Degree",47464,49093,70416,56313
"8372","Associate's Degree",79849,69095,88143,73882
"8373","Bachelor's Degree",30933,35160,51112,46518
"8374","Bachelor's Degree",23342,26183,37548,34931
"8375","Master's Degree",58094,54565,60484,60036
"8376","Bachelor's Degree",32407,32467,45317,42671
"8377","Bachelor's Degree",39666,43135,56847,49185
"8378","Bachelor's Degree",38191,33671,52657,45300
"8379","Master's Degree",46461,49002,49989,48876
"8380","Bachelor's Degree",31849,32288,49283,46817
"8381","Bachelor's Degree",50942,43673,51850,55892
"8382","Bachelor's Degree",31887,28678,54459,36120
"8383","Bachelor's Degree",46086,49322,56998,51920
"8384","Bachelor's Degree",32467,28448,53618,46725
"8385","Bachelor's Degree",25513,30673,46939,44437
"8386","Bachelor's Degree",39133,33417,45721,43458
"8387","Bachelor's Degree",31140,44186,53449,50162
"8388","Bachelor's Degree",34072,33151,48520,54709
"8389","Bachelor's Degree",32452,33411,53033,46741
"8390","Bachelor's Degree",25817,22209,39782,32466
"8391","Bachelor's Degree",32252,27035,42658,35529
"8392","Bachelor's Degree",28025,49028,47012,37743
"8393","Master's Degree",22787,27670,45612,28423
"8394","Bachelor's Degree",48768,37950,54132,59570
"8395","Bachelor's Degree",53955,47141,75316,65679
"8396","Master's Degree",88395,64158,107898,81333
"8397","Bachelor's Degree",51354,54540,73970,70633
"8398","Master's Degree",65570,63876,79496,79396
"8399","Bachelor's Degree",51922,51108,67576,68296
"8400","Bachelor's Degree",40249,38975,47330,44779
"8401","Bachelor's Degree",40011,46000,58723,57124
"8402","Bachelor's Degree",44732,42461,58332,52999
"8403","Bachelor's Degree",35650,36355,49595,49615
"8404","Associate's Degree",35371,25539,43885,33649
"8405","Undergraduate Certificate or Diploma",20141,18216,21115,22987
"8406","Master's Degree",53764,47449,64613,55780
"8407","Master's Degree",62554,56478,61429,58933
"8408","Bachelor's Degree",24667,22718,36372,38186
"8409","Master's Degree",51194,56374,62073,62820
"8410","Bachelor's Degree",22082,23134,44318,44416
"8411","Bachelor's Degree",27376,22293,45895,39651
"8412","Bachelor's Degree",48804,46702,55986,52299
"8413","Bachelor's Degree",34889,39007,51307,47362
"8414","Bachelor's Degree",27128,23801,46411,47972
"8415","Bachelor's Degree",26062,25642,40724,36578
"8416","Bachelor's Degree",34645,28005,47510,38391
"8417","Master's Degree",53730,42642,64828,52308
"8418","Bachelor's Degree",18956,18666,31199,29829
"8419","Bachelor's Degree",52720,50597,53893,55615
"8420","Master's Degree",125155,105193,128757,111578
"8421","Bachelor's Degree",31501,26080,47062,38292
"8422","Master's Degree",62142,54908,73607,58184
"8423","Bachelor's Degree",70470,63881,95945,70597
"8424","Master's Degree",63713,55789,70543,72164
"8425","Bachelor's Degree",33860,30121,43034,37738
"8426","Bachelor's Degree",34884,31946,56942,42848
"8427","Bachelor's Degree",36726,30747,49037,28433
